sdg_id,district_id,indicator_code,indicator_name,sdg_goal,year,value,unit,area
375,63,SDG-4.1.1,Secondary school completion rate,4,2025,64.8,%,District
376,63,SDG-6.1.1,Population using safely managed drinking water,6,2025,86.5,%,District
377,63,SDG-8.5.2,Unemployment rate,8,2025,7.4,%,District
378,63,SDG-16.9.1,Birth registration coverage,16,2025,74.6,%,District
379,64,SDG-1.2.1,Population below national poverty line,1,2025,23.7,%,District
380,64,SDG-3.2.1,Under-five mortality rate,3,2025,20.1,"per 1,000",District
381,64,SDG-4.1.1,Secondary school completion rate,4,2025,51.8,%,District
382,64,SDG-6.1.1,Population using safely managed drinking water,6,2025,54,%,District
383,64,SDG-8.5.2,Unemployment rate,8,2025,10.8,%,District
384,64,SDG-16.9.1,Birth registration coverage,16,2025,60.5,%,District
