import_id,product_id,origin_country,import_date,importer_name,quantity,total_value_usd,delivery_terms,mode_of_transport
293,57,NP,2025-01-12,Bangladesh Import & Supply Co. 19,22352,441601.08,EXW,Sea
294,25,PK,2024-07-15,Bangladesh Import & Supply Co. 40,25980,129724.03,CIF,Road
295,19,AE,2025-08-11,Bangladesh Import & Supply Co. 37,17053,81825.84,CFR,Sea
296,31,IT,2025-09-02,Bangladesh Import & Supply Co. 32,13076,106690.99,CFR,Sea
297,51,NL,2025-10-29,Bangladesh Import & Supply Co. 35,5569,79961.41,EXW,Sea
298,11,CN,2025-08-12,Bangladesh Import & Supply Co. 32,34293,403664.78,CFR,Road
299,23,QA,2024-03-01,Bangladesh Import & Supply Co. 03,21269,17551.3,CFR,Air
300,50,IT,2025-06-26,Bangladesh Import & Supply Co. 14,5215,87320.67,CFR,Sea
301,19,KR,2026-02-13,Bangladesh Import & Supply Co. 27,32728,626763.36,CFR,Sea
302,33,NP,2025-02-12,Bangladesh Import & Supply Co. 30,3167,5466.5,CFR,Sea
303,27,NZ,2024-11-02,Bangladesh Import & Supply Co. 34,2258,31471.23,FOB,Sea
304,43,DE,2025-02-02,Bangladesh Import & Supply Co. 31,8730,171760.47,FOB,Road
305,57,KR,2026-01-20,Bangladesh Import & Supply Co. 13,32696,418470.65,EXW,Sea
306,42,DE,2024-09-12,Bangladesh Import & Supply Co. 03,32624,381750.25,EXW,Sea
307,27,BE,2025-11-24,Bangladesh Import & Supply Co. 05,17924,300424.48,EXW,Sea
308,33,NZ,2025-11-27,Bangladesh Import & Supply Co. 10,24167,98285.43,CIF,Road
309,12,SG,2024-01-10,Bangladesh Import & Supply Co. 09,34670,351624.15,CFR,Sea
310,28,PK,2025-01-12,Bangladesh Import & Supply Co. 34,3340,32181.57,CIF,Sea
311,31,JP,2026-07-11,Bangladesh Import & Supply Co. 14,11302,100422.08,EXW,Road
312,15,NZ,2024-08-30,Bangladesh Import & Supply Co. 01,30416,288099.46,FOB,Sea
313,55,GB,2026-01-28,Bangladesh Import & Supply Co. 08,1387,22230.82,CFR,Sea
314,55,CA,2025-09-23,Bangladesh Import & Supply Co. 26,33016,320248.59,CFR,Sea
315,32,BR,2024-10-12,Bangladesh Import & Supply Co. 01,9010,212183.13,CIF,Air
316,26,GB,2026-04-13,Bangladesh Import & Supply Co. 40,12687,67282.86,CFR,Sea
317,8,CN,2025-05-25,Bangladesh Import & Supply Co. 21,11062,148078.31,FOB,Sea
318,17,ZA,2026-06-13,Bangladesh Import & Supply Co. 26,13023,176101.36,CFR,Sea
319,55,NL,2024-08-29,Bangladesh Import & Supply Co. 17,3590,49492.62,CIF,Air
320,8,AU,2024-07-07,Bangladesh Import & Supply Co. 04,7233,25778.3,CFR,Sea
321,53,JP,2024-01-09,Bangladesh Import & Supply Co. 10,32402,135372.71,CIF,Sea
322,50,NL,2024-02-19,Bangladesh Import & Supply Co. 36,31915,482841.13,CIF,Sea
323,2,BR,2025-05-24,Bangladesh Import & Supply Co. 22,30198,628787.39,FOB,Sea
324,31,PK,2024-04-02,Bangladesh Import & Supply Co. 38,29534,206249.58,FOB,Sea
325,28,NL,2024-04-19,Bangladesh Import & Supply Co. 33,23453,50043.82,CIF,Air
326,54,AU,2025-06-30,Bangladesh Import & Supply Co. 23,5562,64926.69,FOB,Sea
327,41,MY,2024-12-11,Bangladesh Import & Supply Co. 31,14286,188085.79,FOB,Sea
328,59,DE,2024-05-19,Bangladesh Import & Supply Co. 16,2623,16583.42,CIF,Sea
329,10,GB,2026-08-23,Bangladesh Import & Supply Co. 23,25584,461271.89,FOB,Sea
330,2,BR,2026-08-18,Bangladesh Import & Supply Co. 04,11624,180352.75,CFR,Air
331,43,PK,2025-08-18,Bangladesh Import & Supply Co. 24,8220,23515.41,FOB,Sea
332,18,KR,2026-01-22,Bangladesh Import & Supply Co. 18,20733,487819.26,CIF,
333,52,IT,2024-07-13,Bangladesh Import & Supply Co. 32,5991,24200.72,FOB,Sea
334,8,PK,2025-10-08,Bangladesh Import & Supply Co. 26,6481,21325.5,CIF,Sea
335,4,IT,2024-10-25,Bangladesh Import & Supply Co. 02,18999,337094.72,FOB,Sea
336,58,IT,2024-04-23,Bangladesh Import & Supply Co. 18,13717,207902.79,CFR,Sea
337,38,ZA,2024-05-29,Bangladesh Import & Supply Co. 25,13513,279585.67,FOB,Sea
338,5,NP,2024-07-25,Bangladesh Import & Supply Co. 20,26082,132971.64,EXW,Sea
339,32,MY,2024-04-27,Bangladesh Import & Supply Co. 07,13874,219198.59,FOB,Road
340,28,CN,2025-11-16,Bangladesh Import & Supply Co. 04,21058,326044.39,CIF,Road
341,59,GB,2025-09-30,,17649,79348.44,EXW,Sea
342,21,AE,2024-12-01,Bangladesh Import & Supply Co. 03,22108,326279.17,EXW,Sea
343,24,GB,2024-01-16,Bangladesh Import & Supply Co. 16,25199,228674.38,FOB,Sea
344,13,PK,2025-09-01,Bangladesh Import & Supply Co. 35,12759,304264.03,EXW,Sea
345,36,CN,2025-03-21,Bangladesh Import & Supply Co. 31,29864,576328.19,CFR,Road
346,56,PK,2025-01-05,Bangladesh Import & Supply Co. 09,14091,306247.99,FOB,Sea
347,15,DE,2026-05-13,Bangladesh Import & Supply Co. 13,5640,107576.11,FOB,Sea
348,18,DE,2024-01-26,Bangladesh Import & Supply Co. 31,26794,217922.18,FOB,Road
349,24,JP,2025-02-23,Bangladesh Import & Supply Co. 36,21257,422167.83,CIF,Sea
350,33,CH,2026-05-04,Bangladesh Import & Supply Co. 13,18109,52041.04,EXW,Sea
351,24,AU,2025-03-05,Bangladesh Import & Supply Co. 20,7342,49994.13,EXW,Sea
352,14,AU,2024-12-08,Bangladesh Import & Supply Co. 23,13009,153867.54,CFR,Road
353,51,MY,2025-11-21,Bangladesh Import & Supply Co. 27,23450,346864.65,FOB,Sea
354,11,TH,2026-05-11,Bangladesh Import & Supply Co. 07,1403,7741.17,CFR,Road
355,35,AE,2024-01-12,Bangladesh Import & Supply Co. 38,13688,282229.36,FOB,Sea
356,59,AE,2025-09-08,Bangladesh Import & Supply Co. 22,19355,133055.62,CIF,Sea
357,18,NP,2025-09-05,Bangladesh Import & Supply Co. 22,34207,766831.93,FOB,Sea
358,35,CN,2024-05-26,Bangladesh Import & Supply Co. 06,31143,238642.49,CFR,Sea
359,12,DE,2026-07-15,Bangladesh Import & Supply Co. 35,12962,129031.42,CIF,Sea
360,52,SE,2025-06-13,Bangladesh Import & Supply Co. 19,10099,117887.1,CFR,Air
361,2,BR,2026-03-27,Bangladesh Import & Supply Co. 04,12737,36632.15,CIF,Sea
362,41,MY,2025-12-25,Bangladesh Import & Supply Co. 34,32779,304871.81,CFR,Sea
363,17,KR,2026-02-17,Bangladesh Import & Supply Co. 36,24549,537586.27,FOB,Sea
364,12,US,2024-08-21,Bangladesh Import & Supply Co. 11,11152,137385.26,FOB,Sea
365,34,NL,2026-01-12,Bangladesh Import & Supply Co. 11,12405,108952.99,FOB,Sea
366,11,BR,2025-01-01,Bangladesh Import & Supply Co. 23,2410,30987.1,FOB,Sea
367,25,FR,2025-04-22,Bangladesh Import & Supply Co. 23,27097,147813.69,FOB,Road
368,47,FR,2025-01-04,Bangladesh Import & Supply Co. 13,3809,21260.05,CFR,Road
369,40,TH,2025-11-28,Bangladesh Import & Supply Co. 33,5067,4633.36,CIF,Air
370,49,ES,2026-01-06,Bangladesh Import & Supply Co. 08,18137,235183.04,FOB,Sea
371,49,SG,2025-01-23,Bangladesh Import & Supply Co. 03,5653,13390.35,CIF,Road
372,9,US,2025-10-14,Bangladesh Import & Supply Co. 09,2577,51586.68,EXW,Road
373,56,ES,2025-05-25,Bangladesh Import & Supply Co. 37,1020,18205.52,CIF,Sea
374,36,AU,2025-07-09,Bangladesh Import & Supply Co. 38,31153,498136.29,EXW,Road
375,21,JP,2025-11-20,Bangladesh Import & Supply Co. 37,2788,50634.54,FOB,Sea
376,40,CA,2026-01-28,Bangladesh Import & Supply Co. 27,25931,331989.2,FOB,Sea
377,35,CN,2024-01-09,Bangladesh Import & Supply Co. 01,534,12472.45,FOB,Air
378,39,KR,2025-12-08,Bangladesh Import & Supply Co. 15,6594,8981.54,CFR,Sea
379,55,AE,2026-05-20,Bangladesh Import & Supply Co. 22,9749,203369.92,CFR,Sea
380,3,SE,2026-07-15,Bangladesh Import & Supply Co. 08,2884,13442.87,CIF,Air
381,41,BR,2024-11-12,Bangladesh Import & Supply Co. 01,6927,123043.82,FOB,Road
382,48,BR,2026-01-10,Bangladesh Import & Supply Co. 19,29029,342852.9,EXW,Sea
383,27,QA,2026-08-19,Bangladesh Import & Supply Co. 12,15349,348223.38,CFR,Sea
384,59,AU,2025-10-25,Bangladesh Import & Supply Co. 11,6789,107808.2,CFR,Sea
385,5,CN,2024-01-18,Bangladesh Import & Supply Co. 13,15262,261409.76,FOB,Sea
386,2,IT,2024-02-24,Bangladesh Import & Supply Co. 27,33414,389871.78,EXW,Sea
387,3,US,2025-08-23,Bangladesh Import & Supply Co. 39,22716,166626,CFR,Sea
388,59,IN,2025-06-02,Bangladesh Import & Supply Co. 03,18840,374075.75,FOB,Sea
389,42,NP,2025-04-25,Bangladesh Import & Supply Co. 39,4345,21400.36,CFR,Sea
390,31,CA,2025-10-17,Bangladesh Import & Supply Co. 11,16111,383869.53,CFR,Sea
391,52,CH,2024-03-17,Bangladesh Import & Supply Co. 02,24690,93016.55,CFR,Sea
392,56,JP,2025-10-16,Bangladesh Import & Supply Co. 06,8840,84728.96,EXW,Sea
393,1,PK,2025-12-08,Bangladesh Import & Supply Co. 12,4605,47692.25,CIF,Road
394,60,ES,2025-11-14,Bangladesh Import & Supply Co. 23,23761,23044.4,CFR,Sea
395,60,CN,2024-02-28,Bangladesh Import & Supply Co. 36,11553,24183.41,EXW,Sea
396,52,MY,2024-08-22,Bangladesh Import & Supply Co. 24,16316,229816.79,CFR,Air
397,11,NZ,2025-07-22,Bangladesh Import & Supply Co. 24,8634,142424.89,EXW,Sea
398,2,QA,2025-06-21,Bangladesh Import & Supply Co. 38,25687,311099.88,EXW,Sea
399,56,GB,2025-02-14,Bangladesh Import & Supply Co. 34,4661,32049.02,CFR,Road
400,1,QA,2024-11-19,Bangladesh Import & Supply Co. 32,31147,624371.07,EXW,Sea
401,13,CN,2026-04-07,Bangladesh Import & Supply Co. 15,26430,551718.92,FOB,Sea
402,60,KR,2026-01-24,Bangladesh Import & Supply Co. 24,14768,326274.23,EXW,Sea
403,33,FR,2025-05-04,Bangladesh Import & Supply Co. 35,18529,138219.25,CIF,Sea
404,27,GB,2024-11-12,Bangladesh Import & Supply Co. 03,8567,68952.63,EXW,Road
405,38,TH,2026-02-20,Bangladesh Import & Supply Co. 01,20801,330675.59,CIF,Sea
406,14,KR,2026-08-03,Bangladesh Import & Supply Co. 16,4254,30182.07,CFR,Road
407,60,SE,2025-04-01,Bangladesh Import & Supply Co. 04,23957,142437.19,CIF,Sea
408,55,VN,2025-04-22,Bangladesh Import & Supply Co. 26,10760,121889.59,CIF,Sea
409,27,NZ,2024-07-26,Bangladesh Import & Supply Co. 39,5111,24669.75,EXW,Sea
410,22,SA,2025-03-08,Bangladesh Import & Supply Co. 15,32347,342397.97,CIF,Sea
411,12,US,2024-06-11,Bangladesh Import & Supply Co. 20,3506,77914.82,CIF,Sea
412,19,BR,2026-04-22,Bangladesh Import & Supply Co. 21,29873,508800.26,CFR,Sea
413,38,BR,2024-01-05,Bangladesh Import & Supply Co. 36,17811,14591.63,CIF,Sea
414,55,DE,2026-05-10,Bangladesh Import & Supply Co. 17,25706,126621.99,FOB,Sea
415,10,NL,2026-04-23,Bangladesh Import & Supply Co. 36,5566,60466.12,EXW,Sea
416,20,DE,2025-04-16,Bangladesh Import & Supply Co. 09,29832,127354.7,CFR,Sea
417,53,ZA,2026-07-07,Bangladesh Import & Supply Co. 25,19633,258294.4,CIF,Sea
418,5,AE,2025-10-24,Bangladesh Import & Supply Co. 03,22104,280923.69,FOB,Sea
419,16,ES,2025-12-24,Bangladesh Import & Supply Co. 35,27454,574885.1,CIF,Sea
420,29,ZA,2026-04-04,Bangladesh Import & Supply Co. 40,25310,543848.83,CIF,Road
421,3,GB,2024-03-11,Bangladesh Import & Supply Co. 27,9988,148819.89,FOB,Sea
422,46,FR,2024-01-29,Bangladesh Import & Supply Co. 23,9488,147032.29,CFR,Sea
423,36,GB,2025-03-25,Bangladesh Import & Supply Co. 02,27634,91961.54,FOB,Sea
424,11,CH,2025-08-24,Bangladesh Import & Supply Co. 31,23894,336110.02,CFR,Road
425,54,ES,2025-03-03,Bangladesh Import & Supply Co. 03,16511,375764.55,EXW,Sea
426,52,CN,2025-01-06,Bangladesh Import & Supply Co. 33,32078,372876.72,FOB,Sea
427,25,BR,2025-07-03,Bangladesh Import & Supply Co. 15,12451,270473.76,FOB,Air
428,41,US,2025-12-27,Bangladesh Import & Supply Co. 11,6845,53230.38,FOB,Sea
429,41,NL,2025-08-15,Bangladesh Import & Supply Co. 19,2186,35509.39,FOB,Sea
430,42,GB,2024-07-13,Bangladesh Import & Supply Co. 03,18277,370736.47,CFR,Sea
431,29,ZA,2025-06-06,Bangladesh Import & Supply Co. 03,21605,402944.98,FOB,Sea
432,40,IN,2025-04-07,Bangladesh Import & Supply Co. 10,4348,45996.82,CIF,Sea
433,2,DE,2024-02-17,Bangladesh Import & Supply Co. 08,32579,530092.56,CIF,Sea
434,39,BE,2026-08-14,Bangladesh Import & Supply Co. 35,12954,185095.67,CFR,Air
435,52,VN,2026-04-04,Bangladesh Import & Supply Co. 28,23242,555278.61,CIF,Sea
436,22,SG,2025-09-27,Bangladesh Import & Supply Co. 05,19846,441080.47,EXW,Sea
437,46,SE,2024-08-04,Bangladesh Import & Supply Co. 37,7337,138813.94,CIF,Sea
438,18,US,2026-05-11,Bangladesh Import & Supply Co. 10,26170,575684.03,FOB,Sea
439,59,AU,2024-04-13,Bangladesh Import & Supply Co. 40,31032,119884.12,CFR,Sea
440,25,TH,2025-04-11,Bangladesh Import & Supply Co. 38,19817,283597.28,FOB,Road
441,26,IN,2025-01-26,Bangladesh Import & Supply Co. 19,8321,12964.96,FOB,Sea
442,53,FR,2025-12-17,Bangladesh Import & Supply Co. 11,27827,613940.24,CIF,Sea
443,60,TH,2026-05-19,Bangladesh Import & Supply Co. 14,22559,406381.52,CFR,Road
444,49,IN,2026-03-04,Bangladesh Import & Supply Co. 34,19676,127802.82,,Sea
445,28,QA,2026-04-20,Bangladesh Import & Supply Co. 36,6658,126414.38,FOB,Road
446,10,GB,2025-04-20,Bangladesh Import & Supply Co. 01,27959,538817.84,FOB,Sea
447,16,JP,2025-03-25,Bangladesh Import & Supply Co. 34,1874,34336.86,CIF,Sea
448,40,JP,2024-06-29,Bangladesh Import & Supply Co. 36,15127,276702.17,FOB,Road
449,22,VN,2025-06-08,Bangladesh Import & Supply Co. 39,1751,24091.5,FOB,Sea
450,31,NP,2024-05-02,Bangladesh Import & Supply Co. 21,33081,81482.48,FOB,Road
451,41,SG,2026-06-11,Bangladesh Import & Supply Co. 24,11752,214256.89,FOB,Sea
452,59,ZA,2025-12-11,Bangladesh Import & Supply Co. 29,22162,337380.3,CFR,Sea
453,59,NP,2024-04-12,Bangladesh Import & Supply Co. 37,11112,137993.5,FOB,Sea
454,26,ZA,2025-12-20,Bangladesh Import & Supply Co. 19,4855,28008.73,CIF,Sea
455,1,MY,2024-02-08,Bangladesh Import & Supply Co. 26,24574,268567.76,FOB,Sea
456,34,NL,2025-12-11,Bangladesh Import & Supply Co. 01,26787,122602.7,FOB,Sea
457,8,CA,2025-11-08,Bangladesh Import & Supply Co. 11,24766,397457.36,EXW,Sea
458,55,SE,2024-04-23,Bangladesh Import & Supply Co. 23,6717,88129.86,FOB,Sea
459,50,SG,2024-07-02,Bangladesh Import & Supply Co. 08,21342,263812.17,EXW,Air
460,46,IT,2024-06-07,Bangladesh Import & Supply Co. 39,29055,67926.38,CFR,Air
461,36,QA,2024-05-15,Bangladesh Import & Supply Co. 29,31155,376426.71,CFR,Sea
462,40,LK,2024-08-01,Bangladesh Import & Supply Co. 34,27237,438065.41,EXW,Road
463,58,MY,2025-04-02,Bangladesh Import & Supply Co. 14,21080,145597.81,EXW,Sea
464,35,NZ,2024-01-13,Bangladesh Import & Supply Co. 39,16930,250814.7,CFR,Air
465,49,TH,2024-10-29,Bangladesh Import & Supply Co. 19,24829,100473.85,CIF,Sea
466,38,SG,2025-08-30,Bangladesh Import & Supply Co. 24,32373,317090.81,FOB,Sea
467,5,LK,2026-05-28,Bangladesh Import & Supply Co. 31,21669,415663.88,CIF,Sea
468,27,AU,2024-02-13,Bangladesh Import & Supply Co. 03,11111,27490.42,EXW,Road
469,20,SG,2026-07-08,Bangladesh Import & Supply Co. 38,9764,168167.48,CFR,Sea
470,23,TH,2025-12-31,Bangladesh Import & Supply Co. 20,20472,401979.22,FOB,Sea
471,54,BR,2025-01-02,Bangladesh Import & Supply Co. 28,29277,111311.79,EXW,Air
472,5,SA,2024-02-02,Bangladesh Import & Supply Co. 26,26738,230107.82,EXW,Sea
473,49,US,2025-06-03,Bangladesh Import & Supply Co. 33,11176,186307.19,EXW,Sea
474,42,VN,2024-08-11,Bangladesh Import & Supply Co. 14,7376,106851.42,CIF,Air
475,54,ZA,2025-02-24,Bangladesh Import & Supply Co. 08,25242,457354.15,EXW,Air
476,3,VN,2024-07-30,Bangladesh Import & Supply Co. 35,6169,35880.65,EXW,Sea
477,49,CH,2026-04-19,Bangladesh Import & Supply Co. 29,3220,23906.44,FOB,Sea
478,42,AU,2025-01-07,Bangladesh Import & Supply Co. 37,28928,593027.53,EXW,Sea
479,18,BR,2024-05-12,Bangladesh Import & Supply Co. 25,14550,93857.41,EXW,Sea
480,48,CN,2026-01-05,Bangladesh Import & Supply Co. 34,12544,81775.67,FOB,Sea
481,7,JP,2025-07-26,Bangladesh Import & Supply Co. 30,31589,520531,FOB,Sea
482,45,SG,2026-04-21,Bangladesh Import & Supply Co. 29,9998,97701.25,EXW,Road
483,27,BE,2024-03-20,Bangladesh Import & Supply Co. 24,19507,74974.5,EXW,Road
484,50,NZ,2024-11-17,Bangladesh Import & Supply Co. 30,19148,156774.28,CFR,Sea
485,18,PK,2025-05-18,Bangladesh Import & Supply Co. 32,34253,151672.48,EXW,Air
486,42,JP,2025-07-28,Bangladesh Import & Supply Co. 20,2096,18477.34,EXW,Air
487,55,QA,2025-11-12,Bangladesh Import & Supply Co. 33,19663,85075.32,FOB,Air
488,41,IN,2025-05-24,Bangladesh Import & Supply Co. 21,26202,334088.42,FOB,Sea
489,40,VN,2024-04-09,Bangladesh Import & Supply Co. 23,21454,240289.81,CFR,Sea
490,40,ES,2026-07-14,Bangladesh Import & Supply Co. 32,15022,90783.75,FOB,Sea
491,26,AE,2025-12-02,Bangladesh Import & Supply Co. 17,29620,34998.95,CFR,Sea
492,42,CN,2025-02-10,Bangladesh Import & Supply Co. 35,31097,251122.99,EXW,Sea
493,39,NL,2026-03-01,Bangladesh Import & Supply Co. 12,18774,94522.37,FOB,Sea
494,40,NL,2025-05-18,Bangladesh Import & Supply Co. 26,8798,35161.57,EXW,Sea
495,34,NP,2024-01-10,Bangladesh Import & Supply Co. 31,26820,80611.82,EXW,Sea
496,54,IN,2025-11-12,Bangladesh Import & Supply Co. 17,13290,299006.18,CIF,Sea
497,59,GB,2024-01-26,Bangladesh Import & Supply Co. 13,2562,35318.81,EXW,Sea
498,30,QA,2024-03-19,Bangladesh Import & Supply Co. 07,23954,497416.93,CFR,Sea
499,40,KR,2025-01-09,Bangladesh Import & Supply Co. 38,25044,238680.35,CIF,Sea
500,48,SG,2025-02-12,Bangladesh Import & Supply Co. 27,4300,64477.03,CIF,Sea
