edu_id,district_id,indicator_name,year,value,sex,level,unit
503,63,Completion rate,2025,70.9,Male,Secondary,%
504,63,Completion rate,2025,87.2,Female,Secondary,%
505,64,Net enrollment rate,2025,71,Male,Primary,%
506,64,Net enrollment rate,2025,83.6,Female,Primary,%
507,64,Net enrollment rate,2025,89.7,Male,Secondary,%
508,64,Net enrollment rate,2025,81.4,Female,Secondary,%
509,64,Completion rate,2025,90.9,Male,Primary,%
510,64,Completion rate,2025,88.2,Female,Primary,%
511,64,Completion rate,2025,74.5,Male,Secondary,%
512,64,Completion rate,2025,97.9,Female,Secondary,%
